Year,Yield,Unit for yield,Price,Unit for price
1876,168,pound,0.097,cents/pound
1877,170,pound,0.085,cents/pound
1878,168,pound,0.082,cents/pound
1879,181,pound,0.103,cents/pound
1880,191,pound,0.098,cents/pound
1881,149,pound,0.107,cents/pound
1882,209,pound,0.091,cents/pound
1883,162,pound,0.091,cents/pound
1884,155,pound,0.092,cents/pound
1885,170,pound,0.084,cents/pound
1886,164,pound,0.081,cents/pound
1887,175,pound,0.086,cents/pound
1888,170,pound,0.085,cents/pound
1889,177,pound,0.086,cents/pound
1890,196,pound,0.086,cents/pound
1891,199,pound,0.072,cents/pound
1892,169,pound,0.083,cents/pound
1893,175,pound,0.07,cents/pound
1894,219,pound,0.046,cents/pound
1895,172,pound,0.076,cents/pound
1896,175,pound,0.067,cents/pound
1897,209,pound,0.067,cents/pound
1898,223,pound,0.057,cents/pound
1899,185,pound,0.07,cents/pound
1900,195,pound,0.092,cents/pound
1901,168,pound,0.07,cents/pound
1902,185,pound,0.076,cents/pound
1903,170,pound,0.105,cents/pound
1904,214,pound,0.09,cents/pound
1905,182,pound,0.108,cents/pound
1906,202,pound,0.096,cents/pound
1907,173,pound,0.104,cents/pound
1908,204,pound,0.09,cents/pound
1909,157,pound,0.135,cents/pound
1910,176,pound,0.14,cents/pound
1911,215,pound,0.097,cents/pound
1912,201,pound,0.115,cents/pound
1913,192,pound,0.125,cents/pound
1914,216,pound,0.074,cents/pound
1915,179,pound,0.112,cents/pound
1916,166,pound,0.174,cents/pound
1917,167,pound,0.271,cents/pound
1918,164,pound,0.289,cents/pound
1919,166,pound,0.353,cents/pound
1920,187,pound,0.159,cents/pound
1921,133,pound,0.17,cents/pound
1922,149,pound,0.229,cents/pound
1923,136,pound,0.287,cents/pound
1924,165,pound,0.229,cents/pound
1925,174,pound,0.196,cents/pound
1926,193,pound,0.125,cents/pound
1927,162,pound,0.202,cents/pound
1928,163,pound,0.18,cents/pound
1929,164,pound,0.168,cents/pound
1930,157,pound,0.095,cents/pound
1931,212,pound,0.057,cents/pound
1932,174,pound,0.065,cents/pound
1933,213,pound,0.102,cents/pound
1934,172,pound,0.124,cents/pound
1935,185,pound,0.111,cents/pound
1936,199,pound,0.124,cents/pound
1937,270,pound,0.084,cents/pound
1938,236,pound,0.086,cents/pound
1939,238,pound,0.091,cents/pound
1940,253,pound,0.099,cents/pound
1941,232,pound,0.17,cents/pound
1942,272,pound,0.191,cents/pound
1943,254,pound,0.199,cents/pound
1944,299,pound,0.207,cents/pound
1945,254,pound,0.225,cents/pound
1946,236,pound,0.326,cents/pound
1947,267,pound,0.319,cents/pound
1948,311,pound,0.304,cents/pound
1949,282,pound,0.286,cents/pound
1950,269,pound,0.401,cents/pound
1951,269,pound,0.379,cents/pound
1952,280,pound,0.346,cents/pound
1953,324,pound,0.323,cents/pound
1954,341,pound,0.336,cents/pound
1955,417,pound,0.323,cents/pound
1956,409,pound,0.318,cents/pound
1957,388,pound,0.297,cents/pound
1958,466,pound,0.332,cents/pound
1959,461,pound,0.317,cents/pound
1960,446,pound,0.302,cents/pound
1961,438,pound,0.329,cents/pound
1962,457,pound,0.319,cents/pound
1963,517,pound,0.322,cents/pound
1964,517,pound,0.311,cents/pound
1965,527,pound,0.294,cents/pound
1966,480,pound,0.218,cents/pound
1967,447,pound,0.267,cents/pound
1968,516,pound,0.231,cents/pound
1969,434,pound,0.22,cents/pound
1970,438,pound,0.22,cents/pound
1971,438,pound,0.282,cents/pound
1972,507,pound,0.273,cents/pound
1973,520,pound,0.446,cents/pound
1974,442,pound,0.429,cents/pound
1975,453,pound,0.513,cents/pound
1976,465,pound,0.641,cents/pound
1977,520,pound,0.523,cents/pound
1978,420,pound,0.584,cents/pound
1979,547,pound,0.625,cents/pound
1980,404,pound,0.747,cents/pound
1981,542,pound,0.543,cents/pound
1982,590,pound,0.596,cents/pound
1983,508,pound,0.666,cents/pound
1984,600,pound,0.589,cents/pound
1985,630,pound,0.563,cents/pound
1986,552,pound,0.524,cents/pound
1987,706,pound,0.643,cents/pound
1988,619,pound,0.566,cents/pound
1989,614,pound,0.662,cents/pound
1990,634,pound,0.682,cents/pound
1991,652,pound,0.581,cents/pound
1992,700,pound,0.549,cents/pound
1993,606,pound,0.584,cents/pound
1994,708,pound,0.72,cents/pound
1995,537,pound,0.765,cents/pound
1996,705,pound,0.705,cents/pound
1997,673,pound,0.662,cents/pound
1998,625,pound,0.617,cents/pound
1999,607,pound,0.468,cents/pound
2000,632,pound,0.516,cents/pound
2001,705,pound,0.32,cents/pound
2002,665,pound,0.457,cents/pound
2003,730,pound,0.63,cents/pound
2004,855,pound,0.447,cents/pound
2005,831,pound,0.497,cents/pound
2006,814,pound,0.484,cents/pound
2007,879,pound,0.613,cents/pound
2008,813,pound,0.491,cents/pound
2009,776,pound,0.648,cents/pound
2010,812,pound,0.846,cents/pound
2011,790,pound,0.935,cents/pound
2012,892,pound,0.757,cents/pound
2013,822,pound,0.838,cents/pound
2014,838,pound,0.657,cents/pound
2015,766,pound,0.645,cents/pound
2016,867,pound,0.705,cents/pound
2017,905,pound,0.719,cents/pound
2018,882,pound,0.723,cents/pound
2019,831,pound,0.623,cents/pound
2020,847,pound,0.689,cents/pound
2021,849,pound,0.882,cents/pound
