Year,Yield,Unit for yield,Price,Unit for price
1909,888,pound,3.3,$/cwt
1910,817,pound,3.44,$/cwt
1911,799,pound,3.57,$/cwt
1912,785,pound,3.44,$/cwt
1913,681,pound,3.39,$/cwt
1914,812,pound,4,$/cwt
1915,743,pound,4.88,$/cwt
1916,611,pound,9.31,$/cwt
1917,552,pound,10.05,$/cwt
1918,639,pound,7.3,$/cwt
1919,751,pound,7.17,$/cwt
1920,663,pound,4.23,$/cwt
1921,707,pound,4.78,$/cwt
1922,700,pound,5.99,$/cwt
1923,729,pound,5.51,$/cwt
1924,574,pound,6.04,$/cwt
1925,732,pound,4.98,$/cwt
1926,634,pound,4.7,$/cwt
1927,605,pound,5.77,$/cwt
1928,640,pound,7.72,$/cwt
1929,666,pound,6.82,$/cwt
1930,664,pound,4.03,$/cwt
1931,662,pound,2.07,$/cwt
1932,766,pound,1.97,$/cwt
1933,738,pound,2.77,$/cwt
1934,780,pound,3.52,$/cwt
1935,769,pound,2.95,$/cwt
1936,727,pound,5.37,$/cwt
1937,934,pound,3.1,$/cwt
1938,956,pound,2.56,$/cwt
1939,896,pound,3.25,$/cwt
1940,890,pound,3.18,$/cwt
1941,919,pound,4.55,$/cwt
1942,896,pound,5.16,$/cwt
1943,889,pound,6.05,$/cwt
1944,809,pound,6.28,$/cwt
1945,880,pound,6.55,$/cwt
1946,977,pound,10.6,$/cwt
1947,971,pound,11.6,$/cwt
1948,1074,pound,7.86,$/cwt
1949,1134,pound,6.59,$/cwt
1950,1117,pound,7.4,$/cwt
1951,1231,pound,7.9,$/cwt
1952,1288,pound,8.67,$/cwt
1953,1293,pound,8.16,$/cwt
1954,1105,pound,8.04,$/cwt
1955,1110,pound,7.01,$/cwt
1956,1211,pound,6.91,$/cwt
1957,1136,pound,7.16,$/cwt
1958,1194,pound,6.71,$/cwt
1959,1290,pound,6.93,$/cwt
1960,1244,pound,7.14,$/cwt
1961,1391,pound,6.91,$/cwt
1962,1269,pound,6.79,$/cwt
1963,1459,pound,6.99,$/cwt
1964,1252,pound,7.57,$/cwt
1965,1109,pound,8.68,$/cwt
1966,1343,pound,7.17,$/cwt
1967,1263,pound,9.26,$/cwt
1968,1224,pound,8.18,$/cwt
1969,1287,pound,7.6,$/cwt
1970,1235,pound,9.21,$/cwt
1971,1230,pound,10.9,$/cwt
1972,1312,pound,11,$/cwt
1973,1222,pound,27.3,$/cwt
1974,1339,pound,19.8,$/cwt
1975,1190,pound,20.1,$/cwt
1976,1198,pound,15.5,$/cwt
1977,1304,pound,20.2,$/cwt
1978,1302,pound,17.3,$/cwt
1979,1481,pound,22.8,$/cwt
1980,1438,pound,27.6,$/cwt
1981,1443,pound,21,$/cwt
1982,1439,pound,14.2,$/cwt
1983,1363,pound,22.4,$/cwt
1984,1443,pound,18.7,$/cwt
1985,1505,pound,17.6,$/cwt
1986,1536,pound,19,$/cwt
1987,1563,pound,16.5,$/cwt
1988,1423,pound,29.9,$/cwt
1989,1437,pound,28.5,$/cwt
1990,1553,pound,18.5,$/cwt
1991,1764,pound,15.6,$/cwt
1992,1478,pound,19.9,$/cwt
1993,1351,pound,24.6,$/cwt
1994,1581,pound,22.5,$/cwt
1995,1618,pound,20.8,$/cwt
1996,1594,pound,23.5,$/cwt
1997,1670,pound,19.3,$/cwt
1998,1586,pound,19,$/cwt
1999,1762,pound,16.4,$/cwt
2000,1642,pound,15.5,$/cwt
2001,1569,pound,22.1,$/cwt
2002,1743,pound,17.1,$/cwt
2003,1670,pound,18.4,$/cwt
2004,1464,pound,25.7,$/cwt
2005,1741,pound,18.5,$/cwt
2006,1577,pound,22.1,$/cwt
2007,1730,pound,28.8,$/cwt
2008,1768,pound,34.6,$/cwt
2009,1737,pound,30,$/cwt
2010,1726,pound,28,$/cwt
2011,1703,pound,42.1,$/cwt
2012,1889,pound,38,$/cwt
2013,1868,pound,39.1,$/cwt
2014,1754,pound,32.3,$/cwt
2015,1759,pound,27.3,$/cwt
2016,1842,pound,29.2,$/cwt
2017,1778,pound,26.7,$/cwt
2018,1861,pound,25.4,$/cwt
2019,1768,pound,31.8,$/cwt
2020,1962,pound,31.2,$/cwt
2021,1701,pound,39.2,$/cwt
