Year,Yield,Unit for yield,Price,Unit for price
1902,9.3,bushels,1.05,$/bushel
1903,8,bushels,0.81,$/bushel
1904,10.8,bushels,0.99,$/bushel
1905,11.8,bushels,0.84,$/bushel
1906,10.8,bushels,1.02,$/bushel
1907,8.8,bushels,0.96,$/bushel
1908,8.8,bushels,1.16,$/bushel
1909,9.4,bushels,1.42,$/bushel
1910,5.1,bushels,2.27,$/bushel
1911,7,bushels,1.97,$/bushel
1912,9.6,bushels,1.29,$/bushel
1913,7.7,bushels,1.23,$/bushel
1914,8.3,bushels,1.31,$/bushel
1915,10.1,bushels,1.68,$/bushel
1916,9.1,bushels,2.31,$/bushel
1917,4.5,bushels,3.11,$/bushel
1918,7.2,bushels,3.57,$/bushel
1919,5.2,bushels,4.41,$/bushel
1920,6.6,bushels,2.33,$/bushel
1921,7.1,bushels,1.66,$/bushel
1922,9.5,bushels,2.08,$/bushel
1923,8.2,bushels,2.12,$/bushel
1924,8.8,bushels,2.18,$/bushel
1925,7.4,bushels,2.26,$/bushel
1926,6.8,bushels,2.03,$/bushel
1927,9.1,bushels,1.93,$/bushel
1928,7.3,bushels,1.94,$/bushel
1929,5.2,bushels,2.81,$/bushel
1930,5.7,bushels,1.61,$/bushel
1931,4.8,bushels,1.17,$/bushel
1932,5.8,bushels,0.88,$/bushel
1933,5.1,bushels,1.63,$/bushel
1934,5.7,bushels,1.7,$/bushel
1935,7,bushels,1.42,$/bushel
1936,4.7,bushels,1.9,$/bushel
1937,7.6,bushels,1.87,$/bushel
1938,8.9,bushels,1.59,$/bushel
1939,9,bushels,1.46,$/bushel
1940,9.7,bushels,1.42,$/bushel
1941,9.8,bushels,1.79,$/bushel
1942,9.3,bushels,2.36,$/bushel
1943,8.8,bushels,2.83,$/bushel
1944,8.3,bushels,2.91,$/bushel
1945,9.1,bushels,2.89,$/bushel
1946,9.3,bushels,4.03,$/bushel
1947,9.8,bushels,6.15,$/bushel
1948,11,bushels,5.71,$/bushel
1949,8.5,bushels,3.63,$/bushel
1950,9.8,bushels,3.34,$/bushel
1951,8.9,bushels,3.72,$/bushel
1952,9.1,bushels,3.72,$/bushel
1953,8.2,bushels,3.64,$/bushel
1954,7.3,bushels,3.05,$/bushel
1955,8.2,bushels,2.9,$/bushel
1956,8.6,bushels,2.99,$/bushel
1957,5.2,bushels,2.94,$/bushel
1958,10.2,bushels,2.69,$/bushel
1959,7.2,bushels,3,$/bushel
1960,9.1,bushels,2.65,$/bushel
1961,8.8,bushels,3.26,$/bushel
1962,11.5,bushels,2.83,$/bushel
1963,9.8,bushels,2.76,$/bushel
1964,8.6,bushels,2.82,$/bushel
1965,12.8,bushels,2.8,$/bushel
1966,9.1,bushels,2.89,$/bushel
1967,10.1,bushels,2.95,$/bushel
1968,12.9,bushels,2.81,$/bushel
1969,13.4,bushels,2.65,$/bushel
1970,10.4,bushels,2.4,$/bushel
1971,11.8,bushels,2.38,$/bushel
1972,12.1,bushels,3.1,$/bushel
1973,9.7,bushels,7.56,$/bushel
1974,8.5,bushels,9.67,$/bushel
1975,10.3,bushels,6.57,$/bushel
1976,7.9,bushels,7.08,$/bushel
1977,11.5,bushels,4.54,$/bushel
1978,12.5,bushels,5.74,$/bushel
1979,13.7,bushels,6.01,$/bushel
1980,11.7,bushels,7.21,$/bushel
1981,12.6,bushels,6.67,$/bushel
1982,14,bushels,5.17,$/bushel
1983,11.9,bushels,6.84,$/bushel
1984,13.1,bushels,6.09,$/bushel
1985,14.2,bushels,5.05,$/bushel
1986,16.9,bushels,3.47,$/bushel
1987,16.1,bushels,3.39,$/bushel
1988,7.1,bushels,7.56,$/bushel
1989,7.5,bushels,7.2,$/bushel
1990,15.1,bushels,5.27,$/bushel
1991,18.1,bushels,3.52,$/bushel
1992,19.9,bushels,4.12,$/bushel
1993,18.2,bushels,4.25,$/bushel
1994,17.1,bushels,4.63,$/bushel
1995,15,bushels,5.2,$/bushel
1996,17.4,bushels,6.37,$/bushel
1997,16.6,bushels,5.81,$/bushel
1998,20.4,bushels,5.05,$/bushel
1999,20.6,bushels,3.79,$/bushel
2000,20.8,bushels,3.3,$/bushel
2001,19.8,bushels,4.29,$/bushel
2002,16.9,bushels,5.77,$/bushel
2003,17.9,bushels,5.88,$/bushel
2004,20.3,bushels,8.07,$/bushel
2005,20.6,bushels,5.94,$/bushel
2006,14.4,bushels,5.8,$/bushel
2007,16.9,bushels,13,$/bushel
2008,16.8,bushels,12.7,$/bushel
2009,23.6,bushels,8.15,$/bushel
2010,21.7,bushels,12.2,$/bushel
2011,16.1,bushels,13.9,$/bushel
2012,17.3,bushels,13.8,$/bushel
2013,19.5,bushels,13.8,$/bushel
2014,21.1,bushels,11.8,$/bushel
2015,22.1,bushels,8.95,$/bushel
2016,23.7,bushels,8,$/bushel
2017,14.1,bushels,9.53,$/bushel
2018,22.6,bushels,9.89,$/bushel
2019,19.8,bushels,9.15,$/bushel
2020,19.3,bushels,11.1,$/bushel
2021,10.1,bushels,27,$/bushel
