Year,Yield,Unit for yield,Price,Unit for price
1866,24,bushels,0.952,$/bushel
1867,22.5,bushels,1.22,$/bushel
1868,21.8,bushels,1.49,$/bushel
1869,23.5,bushels,0.872,$/bushel
1870,21.8,bushels,0.853,$/bushel
1871,20.5,bushels,0.771,$/bushel
1872,22.5,bushels,0.738,$/bushel
1873,20.7,bushels,0.963,$/bushel
1874,22.2,bushels,0.962,$/bushel
1875,19.3,bushels,0.856,$/bushel
1876,20.6,bushels,0.685,$/bushel
1877,20,bushels,0.633,$/bushel
1878,20.3,bushels,0.584,$/bushel
1879,22,bushels,0.599,$/bushel
1880,22.7,bushels,0.663,$/bushel
1881,22.3,bushels,0.819,$/bushel
1882,24.7,bushels,0.631,$/bushel
1883,23.1,bushels,0.589,$/bushel
1884,25.2,bushels,0.483,$/bushel
1885,22.3,bushels,0.557,$/bushel
1886,24.3,bushels,0.531,$/bushel
1887,22.2,bushels,0.52,$/bushel
1888,23.1,bushels,0.591,$/bushel
1889,24.1,bushels,0.415,$/bushel
1890,21.5,bushels,0.621,$/bushel
1891,26.2,bushels,0.522,$/bushel
1892,24.7,bushels,0.466,$/bushel
1893,23.6,bushels,0.402,$/bushel
1894,20.4,bushels,0.437,$/bushel
1895,25,bushels,0.328,$/bushel
1896,23.6,bushels,0.296,$/bushel
1897,24.9,bushels,0.343,$/bushel
1898,23.9,bushels,0.389,$/bushel
1899,26.4,bushels,0.388,$/bushel
1900,20.5,bushels,0.407,$/bushel
1901,24.9,bushels,0.454,$/bushel
1902,26.7,bushels,0.453,$/bushel
1903,24,bushels,0.447,$/bushel
1904,25.2,bushels,0.412,$/bushel
1905,25.8,bushels,0.394,$/bushel
1906,26.6,bushels,0.418,$/bushel
1907,22,bushels,0.665,$/bushel
1908,23.1,bushels,0.566,$/bushel
1909,22.5,bushels,0.568,$/bushel
1910,18.9,bushels,0.601,$/bushel
1911,19.1,bushels,0.814,$/bushel
1912,26.1,bushels,0.51,$/bushel
1913,20.7,bushels,0.526,$/bushel
1914,23.2,bushels,0.528,$/bushel
1915,28.4,bushels,0.514,$/bushel
1916,20.9,bushels,0.789,$/bushel
1917,21.6,bushels,1.22,$/bushel
1918,24.5,bushels,0.962,$/bushel
1919,19.9,bushels,1.28,$/bushel
1920,23,bushels,0.907,$/bushel
1921,18.8,bushels,0.497,$/bushel
1922,23.2,bushels,0.505,$/bushel
1923,22.2,bushels,0.548,$/bushel
1924,23.5,bushels,0.744,$/bushel
1925,23.5,bushels,0.617,$/bushel
1926,21,bushels,0.574,$/bushel
1927,25.3,bushels,0.696,$/bushel
1928,25.8,bushels,0.585,$/bushel
1929,20.7,bushels,0.599,$/bushel
1930,23.9,bushels,0.42,$/bushel
1931,17.9,bushels,0.354,$/bushel
1932,22.7,bushels,0.232,$/bushel
1933,15.9,bushels,0.429,$/bushel
1934,17.8,bushels,0.643,$/bushel
1935,23.2,bushels,0.376,$/bushel
1936,17.7,bushels,0.754,$/bushel
