Year,Yield,Unit for yield,Price,Unit for price
1866,24.3,bushels,0.275,$/bushel
1867,24.7,bushels,0.331,$/bushel
1868,26.2,bushels,0.434,$/bushel
1869,21.8,bushels,0.357,$/bushel
1870,29.3,bushels,0.322,$/bushel
1871,27.2,bushels,0.349,$/bushel
1872,29.4,bushels,0.418,$/bushel
1873,22.9,bushels,0.481,$/bushel
1874,22.2,bushels,0.628,$/bushel
1875,27.7,bushels,0.39,$/bushel
1876,26.7,bushels,0.364,$/bushel
1877,25.8,bushels,0.313,$/bushel
1878,26.2,bushels,0.357,$/bushel
1879,28.2,bushels,0.361,$/bushel
1880,27.3,bushels,0.419,$/bushel
1881,19.8,bushels,0.641,$/bushel
1882,26.5,bushels,0.483,$/bushel
1883,24.2,bushels,0.383,$/bushel
1884,28.3,bushels,0.464,$/bushel
1885,28.6,bushels,0.521,$/bushel
1886,24.1,bushels,0.725,$/bushel
1887,21.9,bushels,0.617,$/bushel
1888,29.1,bushels,0.781,$/bushel
1889,29.5,bushels,0.657,$/bushel
1890,22.1,bushels,0.496,$/bushel
1891,29.6,bushels,0.398,$/bushel
1892,24.7,bushels,0.393,$/bushel
1893,23.8,bushels,0.361,$/bushel
1894,20.2,bushels,0.451,$/bushel
1895,28,bushels,0.252,$/bushel
1896,30,bushels,0.214,$/bushel
1897,25.4,bushels,0.26,$/bushel
1898,26.8,bushels,0.285,$/bushel
1899,28,bushels,0.298,$/bushel
1900,28.1,bushels,0.35,$/bushel
1901,18.2,bushels,0.6,$/bushel
1902,28.5,bushels,0.401,$/bushel
1903,26.9,bushels,0.419,$/bushel
1904,28.2,bushels,0.436,$/bushel
1905,30.9,bushels,0.406,$/bushel
1906,31.7,bushels,0.391,$/bushel
1907,27.2,bushels,0.505,$/bushel
1908,26.9,bushels,0.65,$/bushel
1909,26.1,bushels,0.576,$/bushel
1910,27.9,bushels,0.475,$/bushel
1911,24.4,bushels,0.649,$/bushel
1912,29.1,bushels,0.511,$/bushel
1913,22.7,bushels,0.659,$/bushel
1914,25.8,bushels,0.673,$/bushel
1915,28.1,bushels,0.651,$/bushel
1916,24.1,bushels,1.13,$/bushel
1917,26.2,bushels,1.39,$/bushel
1918,23.9,bushels,1.45,$/bushel
1919,26.8,bushels,1.44,$/bushel
1920,29.9,bushels,0.54,$/bushel
1921,27.8,bushels,0.464,$/bushel
1922,26.3,bushels,0.688,$/bushel
1923,27.8,bushels,0.76,$/bushel
1924,22.1,bushels,1.02,$/bushel
1925,27.4,bushels,0.654,$/bushel
1926,25.7,bushels,0.715,$/bushel
1927,26.4,bushels,0.804,$/bushel
1928,26.3,bushels,0.798,$/bushel
1929,25.7,bushels,0.764,$/bushel
1930,20.5,bushels,0.55,$/bushel
1931,24.5,bushels,0.294,$/bushel
1932,26.5,bushels,0.292,$/bushel
1933,22.8,bushels,0.494,$/bushel
1934,18.7,bushels,0.802,$/bushel
1935,24.2,bushels,0.632,$/bushel
1936,18.6,bushels,1.03,$/bushel
1937,28.9,bushels,0.49,$/bushel
1938,27.8,bushels,0.469,$/bushel
1939,29.9,bushels,0.542,$/bushel
1940,28.9,bushels,0.601,$/bushel
1941,31.2,bushels,0.736,$/bushel
1942,35.4,bushels,0.894,$/bushel
1943,32.6,bushels,1.08,$/bushel
1944,33,bushels,1.03,$/bushel
1945,33.1,bushels,1.23,$/bushel
1946,37.2,bushels,1.53,$/bushel
1947,28.6,bushels,2.16,$/bushel
1948,43,bushels,1.28,$/bushel
1949,38.2,bushels,1.24,$/bushel
1950,38.2,bushels,1.52,$/bushel
1951,36.9,bushels,1.66,$/bushel
1952,41.8,bushels,1.52,$/bushel
1953,40.7,bushels,1.48,$/bushel
1954,39.4,bushels,1.43,$/bushel
1955,42,bushels,1.35,$/bushel
1956,47.4,bushels,1.29,$/bushel
1957,48.3,bushels,1.11,$/bushel
1958,52.8,bushels,1.12,$/bushel
1959,53.1,bushels,1.05,$/bushel
